증권종류,회사명,종목코드,업종,주요제품,상장일,결산일,대표자명,홈페이지,지역
코스닥,액트로,290740,전자부품 제조업,전자부품 제조업,2018-08-28,12월,하동길,http://www.actro.co.kr,경기도
코스닥,오파스넷,173130,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업",2018-08-24,12월,장수현,http://www.opasnet.co.kr,서울특별시
코스닥,브이엠,089970,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2018-08-23,12월,최우형..,http://www.vmsemi.com,경기도
코스닥,바이오솔루션,086820,기초 의약물질 제조업,기초 의약물질 제조업,2018-08-20,12월,이정선,http://www.biosolutions.co.kr/,서울특별시
코넥스,더콘텐츠온,302920,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화, 비디오물, 방송프로그램 제작 및 배급업",2018-08-13,12월,김상윤,http://www.tcokr.com,서울특별시
유가증권,신한알파리츠,293940,부동산 임대 및 공급업,부동산 임대 및 공급업,2018-08-08,03월,이준구,http://www.shalphareit.com,서울특별시
코스닥,디아이티,110990,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2018-08-07,12월,박종철,http://www.okdit.co.kr,경기도
코스닥,에스에스알,275630,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,2018-08-06,12월,고필주,http://www.ssrinc.co.kr,서울특별시
유가증권,한일시멘트,300720,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 석회, 플라스터 및 그 제품 제조업",2018-08-06,12월,전근식..,http://www.hanilcement.com,서울특별시
코스닥,휴네시온,290270,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,2018-08-02,12월,정동섭,http://www.hunesion.com,서울특별시
유가증권,티웨이항공,091810,항공 여객 운송업,항공 여객 운송업,2018-08-01,12월,이상윤,http://www.twayair.com,대구광역시
유가증권,롯데이노베이트,286940,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업",2018-07-27,12월,김경엽,http://www.lotteinnovate.com,서울특별시
코스닥,한국유니온제약,080720,의약품 제조업,의약품 제조업,2018-07-26,12월,정근호,http://www.ukp.co.kr/,강원특별자치도
코스닥,그리티,204020,봉제의복 제조업,봉제의복 제조업,2018-07-23,12월,문영우,http://www.gritees.com,서울특별시
코스닥,알로이스,297570,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2018-07-20,12월,신정관,http://www.aloys.co.kr,경기도
코스닥,올릭스,226950,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2018-07-18,12월,이동기,http://www.olixpharma.com,경기도
유가증권,HS효성첨단소재,298050,화학섬유 제조업,화학섬유 제조업,2018-07-13,12월,임진달..,http://www.hyosungadvancedmaterials.com,서울특별시
코넥스,테크트랜스,258050,기타 금속 가공제품 제조업,기타 금속 가공제품 제조업,2018-07-13,12월,유재인,http://www.techtrans.co.kr,경상북도
